symbol,date,open,high,low,close,volume
GXH.NZ,2024-09-22,0.77,0.77,0.77,0.77,410
GXH.NZ,2024-09-23,0.76,0.76,0.76,0.76,0
GXH.NZ,2024-09-24,0.78,0.8,0.78,0.8,2619
GXH.NZ,2024-09-25,0.78,0.78,0.77,0.77,853
GXH.NZ,2024-09-26,0.77,0.77,0.76,0.77,4553
GXH.NZ,2024-09-27,0.76,0.77,0.76,0.77,40393
GXH.NZ,2024-09-30,0.77,0.77,0.75,0.77,4388
GXH.NZ,2024-10-01,0.77,0.77,0.75,0.75,45974
GXH.NZ,2024-10-02,0.76,0.76,0.75,0.75,1681
GXH.NZ,2024-10-03,0.76,0.78,0.76,0.78,36014
GXH.NZ,2024-10-04,0.77,0.77,0.74,0.74,36014
GXH.NZ,2024-10-06,0.73,0.73,0.73,0.73,1331
GXH.NZ,2024-10-07,0.73,0.73,0.73,0.73,1331
GXH.NZ,2024-10-08,0.78,0.78,0.78,0.78,0
GXH.NZ,2024-10-09,0.75,0.75,0.73,0.74,7878
GXH.NZ,2024-10-10,0.77,0.77,0.73,0.74,3559
GXH.NZ,2024-10-11,0.74,0.74,0.74,0.74,0
GXH.NZ,2024-10-14,0.76,0.76,0.76,0.76,1490
GXH.NZ,2024-10-15,0.76,0.76,0.75,0.76,10865
GXH.NZ,2024-10-16,0.76,0.76,0.75,0.75,9332
GXH.NZ,2024-10-17,0.75,0.75,0.73,0.75,11685
GXH.NZ,2024-10-18,0.73,0.74,0.73,0.73,8881
GXH.NZ,2024-10-20,0.74,0.74,0.72,0.72,16685
GXH.NZ,2024-10-21,0.73,0.73,0.73,0.73,0
GXH.NZ,2024-10-22,0.74,0.74,0.72,0.73,20112
GXH.NZ,2024-10-23,0.73,0.73,0.73,0.73,0
GXH.NZ,2024-10-24,0.75,0.75,0.75,0.75,2546
GXH.NZ,2024-10-25,0.73,0.77,0.73,0.76,16779
GXH.NZ,2024-10-29,0.74,0.74,0.73,0.73,46478
GXH.NZ,2024-10-30,0.74,0.74,0.73,0.73,2020
GXH.NZ,2024-10-31,0.74,0.74,0.74,0.74,0
GXH.NZ,2024-11-01,0.74,0.76,0.74,0.76,1515
GXH.NZ,2024-11-04,0.76,0.77,0.76,0.77,10992
GXH.NZ,2024-11-05,0.79,0.8,0.79,0.79,2368
GXH.NZ,2024-11-06,0.8,0.8,0.8,0.8,0
GXH.NZ,2024-11-07,0.82,0.82,0.78,0.78,5797
GXH.NZ,2024-11-08,0.78,0.82,0.78,0.82,1138
GXH.NZ,2024-11-11,0.78,0.78,0.76,0.76,10727
GXH.NZ,2024-11-12,0.78,0.82,0.78,0.81,1547
GXH.NZ,2024-11-13,0.8,0.83,0.8,0.8,11661
GXH.NZ,2024-11-14,0.8,0.83,0.8,0.83,12932
GXH.NZ,2024-11-15,0.81,0.82,0.81,0.81,13148
GXH.NZ,2024-11-17,0.79,0.79,0.76,0.76,9675
GXH.NZ,2024-11-18,0.81,0.81,0.81,0.81,0
